school,program,program_category,degree,degree_category,state,city,square_miles,population,density,average_winter,average_summer,latitude,longitude,link,date_collected
Indiana University,Biostatistics,Biostatistics,PhD,Doctorate,Indiana,Indianapolis,372,848788,2282,40.04,73.7,39.7813056,-86.1669342,http://biostat.iupui.edu/,2016-04
Indiana University,Applied Statistics,Statistics,MS,Master,Indiana,Bloomington,23.36,83322,3567,40.6,72.2,39.1688791,-86.524822,http://stat.indiana.edu/,2016-04
Indiana University,Statistics,Statistics,MS,Master,Indiana,Bloomington,23.36,83322,3567,40.6,72.2,39.1688791,-86.524822,http://stat.indiana.edu/,2016-04
Indiana University,Statistics,Statistics,PhD,Doctorate,Indiana,Bloomington,23.36,83322,3567,40.6,72.2,39.1688791,-86.524822,http://stat.indiana.edu/,2016-04
Purdue University,Applied Statistics,Statistics,MS,Master,Indiana,West Lafayette,7.63,32109,4208,39.7,72.8,40.4268299,-86.9163354,http://www.stat.purdue.edu/,2016-04
Purdue University,Statistics,Statistics,MS,Master,Indiana,West Lafayette,7.63,32109,4208,39.7,72.8,40.4268299,-86.9163354,http://www.stat.purdue.edu/,2016-04
Purdue University,Statistics,Statistics,PhD,Doctorate,Indiana,West Lafayette,7.63,32109,4208,39.7,72.8,40.4268299,-86.9163354,http://www.stat.purdue.edu/,2016-04
University of Notre Dame,Statistics,Statistics,MS,Master,Indiana,Notre Dame,41.88,101190,2416,37.4,70.6,41.7006134,-86.2375102,http://acms.nd.edu/,2016-04
University of Notre Dame,Statistics,Statistics,PhD,Doctorate,Indiana,Notre Dame,41.88,101190,2416,37.4,70.6,41.7006134,-86.2375102,http://acms.nd.edu/,2016-04
Iowa State University,Statistics,Statistics,MS,Master,Iowa,Ames,24.27,63266,2607,33.6,71,42.0285432,-93.649716,http://www.stat.iastate.edu/,2016-04
Iowa State University,Statistics,Statistics,PhD,Doctorate,Iowa,Ames,24.27,63266,2607,33.6,71,42.0285432,-93.649716,http://www.stat.iastate.edu/,2016-04
University of Iowa,Biostatistics,Biostatistics,MS,Master,Iowa,Iowa City,25.28,73415,2904,33.7,70.8,41.664253,-91.5425807,http://www.public-health.uiowa.edu/biostat/,2016-04
University of Iowa,Biostatistics,Biostatistics,PhD,Doctorate,Iowa,Iowa City,25.28,73415,2904,33.7,70.8,41.664253,-91.5425807,http://www.public-health.uiowa.edu/biostat/,2016-04
University of Iowa,Quantitative Methods,Statistics,MPH,Master,Iowa,Iowa City,25.28,73415,2904,33.7,70.8,41.664253,-91.5425807,http://www.public-health.uiowa.edu/biostat/,2016-04
University of Iowa,Statistics,Statistics,MS,Master,Iowa,Iowa City,25.28,73415,2904,33.7,70.8,41.6608044,-91.5357222,http://www.stat.uiowa.edu/,2016-04
University of Iowa,Statistics,Statistics,PhD,Doctorate,Iowa,Iowa City,25.28,73415,2904,33.7,70.8,41.6608044,-91.5357222,http://www.stat.uiowa.edu/,2016-04
Kansas State University,Statistics,Statistics,MS,Master,Kansas,Manhattan,18.8,56078,2983,40.4,75.6,39.1904452,-96.5793145,https://www.k-state.edu/stats/,2016-04
Kansas State University,Statistics,Statistics,PhD,Doctorate,Kansas,Manhattan,18.8,56078,2983,40.4,75.6,39.1904452,-96.5793145,https://www.k-state.edu/stats/,2016-04
University of Kansas,Biostatistics,Biostatistics,MS,Master,Kansas,Kansas City,128.4,149636,1165,40.8,75.8,39.0556576,-94.6114737,http://www.kumc.edu/school-of-medicine/department-of-biostatistics.html,2016-04
University of Kansas,Biostatistics,Biostatistics,PhD,Doctorate,Kansas,Kansas City,128.4,149636,1165,40.8,75.8,39.0556576,-94.6114737,http://www.kumc.edu/school-of-medicine/department-of-biostatistics.html,2016-04
University of Kansas,Applied Statistics and Analytics,Statistics,MS,Master,Kansas,Kansas City,128.4,149636,1165,40.8,75.8,39.0556576,-94.6114737,http://www.kumc.edu/school-of-medicine/department-of-biostatistics.html,2016-04
Wichita State University,Mathematics with Statistics Emphasis,Statistics,MS,Master,Kansas,Wichita,163.6,388413,2374,43,77.5,37.7193864,-97.2935647,http://www.wichita.edu/math/,2016-04
Wichita State University,Applied Mathematics with Statistics Emphasis,Statistics,PhD,Doctorate,Kansas,Wichita,163.6,388413,2374,43,77.5,37.7193864,-97.2935647,http://www.wichita.edu/math/,2016-04
University of Kentucky,Biostatistics,Biostatistics,MS,Master,Kentucky,Lexington,285.5,310797,1089,44,74.4,38.0331665,-84.5071022,https://stat.as.uky.edu/,2016-04
University of Kentucky,Biostatistics,Biostatistics,PhD,Doctorate,Kentucky,Lexington,285.5,310797,1089,44,74.4,38.0331665,-84.5071022,https://stat.as.uky.edu/,2016-04
University of Kentucky,Statistics,Statistics,MS,Master,Kentucky,Lexington,285.5,310797,1089,44,74.4,38.0331665,-84.5071022,https://stat.as.uky.edu/,2016-04
University of Kentucky,Statistics,Statistics,PhD,Doctorate,Kentucky,Lexington,285.5,310797,1089,44,74.4,38.0331665,-84.5071022,https://stat.as.uky.edu/,2016-04
Louisiana State University,Biostatistics,Biostatistics,MPH,Master,Louisiana,New Orleans,350,384320,1098,61.3,82.3,29.9566993,-90.0836172,http://sph.lsuhsc.edu/biostatistics,2016-04
Louisiana State University,Biostatistics,Biostatistics,MS,Master,Louisiana,New Orleans,350,384320,1098,61.3,82.3,29.9566993,-90.0836172,http://sph.lsuhsc.edu/biostatistics,2016-04
Louisiana State University,Biostatistics,Biostatistics,PhD,Doctorate,Louisiana,New Orleans,350,384320,1098,61.3,82.3,29.9566993,-90.0836172,http://sph.lsuhsc.edu/biostatistics,2016-04
Louisiana State University,Applied Statistics,Statistics,MS,Master,Louisiana,New Orleans,350,384320,1098,61.3,82.3,30.4123797,-91.1807312,http://www.lsu.edu/agriculture/exst/,2016-04
Louisiana Tech University,Mathematics and Statistics,Statistics,MS,Master,Louisiana,Ruston,18.2,22301,1225,53.5,80.4,32.528298,-92.6483046,http://coes.latech.edu/mathematics-and-statistics/,2016-04
Louisiana Tech University,Computational Analysis and Modeling,Statistics,PhD,Doctorate,Louisiana,Ruston,18.2,22301,1225,53.5,80.4,32.528298,-92.6483046,http://coes.latech.edu/cam/,2016-04
Tulane University,Biostatistics,Biostatistics,MS,Master,Louisiana,New Orleans,350,384320,1098,61.3,82.3,29.9569247,-90.075466,http://www.sph.tulane.edu/publichealth/bio/,2016-04
Tulane University,Biostatistics,Biostatistics,MSPH,Master,Louisiana,New Orleans,350,384320,1098,61.3,82.3,29.9569247,-90.075466,http://www.sph.tulane.edu/publichealth/bio/,2016-04
Tulane University,Biostatistics,Biostatistics,PhD,Doctorate,Louisiana,New Orleans,350,384320,1098,61.3,82.3,29.9569247,-90.075466,http://www.sph.tulane.edu/publichealth/bio/,2016-04
Tulane University,Statistics,Statistics,MS,Master,Louisiana,New Orleans,350,384320,1098,61.3,82.3,29.9354314,-90.1227731,http://tulane.edu/sse/math/,2016-04
University of Louisiana at Lafayette,Mathematics with Statistics Concentration,Statistics,MS,Master,Louisiana,Lafayette,49.19,126066,2563,60.2,82.8,30.214964,-92.0205872,http://math.louisiana.edu/,2016-04
University of Louisiana at Lafayette,Mathematics with Statistics Concentration,Statistics,PhD,Doctorate,Louisiana,Lafayette,49.19,126066,2563,60.2,82.8,30.214964,-92.0205872,http://math.louisiana.edu/,2016-04
University of Maine,Mathematics with Statistics Track,Statistics,MA,Master,Maine,Orono,19.6,10670,544,33.3,65.6,44.9019165,-68.6667059,https://umaine.edu/mathematics/,2016-04
University of Southern Maine,Statistics,Statistics,MS,Master,Maine,Portland,52.6,66666,1267,36.4,66.2,43.6622077,-70.2776159,https://usm.maine.edu/math,2016-04
Johns Hopkins University,Biostatistics,Biostatistics,MHS,Master,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.298005,-76.5905718,http://www.jhsph.edu/departments/biostatistics/,2016-04
Johns Hopkins University,Biostatistics,Biostatistics,MS,Master,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.298005,-76.5905718,http://www.jhsph.edu/departments/biostatistics/,2016-04
Johns Hopkins University,Biostatistics,Biostatistics,PhD,Doctorate,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.298005,-76.5905718,http://www.jhsph.edu/departments/biostatistics/,2016-04
Johns Hopkins University,Applied Mathematics and Statistics,Statistics,MA,Master,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.327192,-76.6189796,http://engineering.jhu.edu/ams,2016-04
Johns Hopkins University,Applied Mathematics and Statistics,Statistics,MSE,Master,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.327192,-76.6189796,http://engineering.jhu.edu/ams,2016-04
Johns Hopkins University,Applied Mathematics and Statistics,Statistics,PhD,Doctorate,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.327192,-76.6189796,http://engineering.jhu.edu/ams,2016-04
University of Maryland,Biostatistics,Biostatistics,MPH,Master,Maryland,College Park,5.7,32256,5659,46.6,77.1,38.993452,-76.9431245,http://sph.umd.edu/department/epib,2016-04
University of Maryland,Mathematical Statistics,Statistics,MA,Master,Maryland,College Park,5.7,32256,5659,46.6,77.1,38.9882968,-76.9392273,http://www-math.umd.edu/,2016-04
University of Maryland,Mathematical Statistics,Statistics,PhD,Doctorate,Maryland,College Park,5.7,32256,5659,46.6,77.1,38.9882968,-76.9392273,http://www-math.umd.edu/,2016-04
"University of Maryland, Baltimore County",Statistics,Statistics,MS,Master,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.2541629,-76.7124255,http://mathstat.umbc.edu/,2016-04
"University of Maryland, Baltimore County",Statistics,Statistics,PhD,Doctorate,Maryland,Baltimore,92.28,622793,6749,43.9,74.2,39.2541629,-76.7124255,http://mathstat.umbc.edu/,2016-04
Boston University,Biostatistics,Biostatistics,MA,Master,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3331526,-71.0733667,http://www.bu.edu/sph/about/departments/biostatistics/,2016-04
Boston University,Biostatistics,Biostatistics,PhD,Doctorate,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3331526,-71.0733667,http://www.bu.edu/sph/about/departments/biostatistics/,2016-04
Boston University,Statistics,Statistics,MA,Master,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3490609,-71.1042501,http://www.bu.edu/stat/,2016-04
Boston University,Statistics,Statistics,MS,Master,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3490609,-71.1042501,http://www.bu.edu/stat/,2016-04
Boston University,Statistics,Statistics,PhD,Doctorate,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3490609,-71.1042501,http://www.bu.edu/stat/,2016-04
Harvard University,Biostatistics,Biostatistics,MS,Master,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3354728,-71.1023019,http://www.hsph.harvard.edu/biostatistics/,2016-04
Harvard University,Biostatistics,Biostatistics,PhD,Doctorate,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3354728,-71.1023019,http://www.hsph.harvard.edu/biostatistics/,2016-04
Harvard University,Statistics,Statistics,MA,Master,Massachusetts,Cambridge,7.13,109694,15385,41.9,70.4,42.3762356,-71.1165464,http://statistics.fas.harvard.edu/,2016-04
Harvard University,Statistics,Statistics,PhD,Doctorate,Massachusetts,Cambridge,7.13,109694,15385,41.9,70.4,42.3762356,-71.1165464,http://statistics.fas.harvard.edu/,2016-04
Massachusetts Institute of Technology,Business Analytics,Statistics,MS,Master,Massachusetts,Cambridge,7.13,109694,15385,41.9,70.4,42.3610527,-71.0829471,http://statistics.mit.edu/,2016-04
Massachusetts Institute of Technology,Electrical Engineering & Computer Science,Statistics,MS,Master,Massachusetts,Cambridge,7.13,109694,15385,41.9,70.4,42.3608581,-71.0927251,http://statistics.mit.edu/,2016-04
Massachusetts Institute of Technology,Operations Research,Statistics,MS,Master,Massachusetts,Cambridge,7.13,109694,15385,41.9,70.4,42.3611371,-71.0848562,http://statistics.mit.edu/,2016-04
Massachusetts Institute of Technology,Electrical Engineering & Computer Science,Statistics,PhD,Doctorate,Massachusetts,Cambridge,7.13,109694,15385,41.9,70.4,42.3608581,-71.0927251,http://statistics.mit.edu/,2016-04
Massachusetts Institute of Technology,Operations Research,Statistics,PhD,Doctorate,Massachusetts,Cambridge,7.13,109694,15385,41.9,70.4,42.3611371,-71.0848562,http://statistics.mit.edu/,2016-04
Northeastern University,Mathematics with Statistics Track,Statistics,PhD,Doctorate,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3383389,-71.0907964,http://www.northeastern.edu/cos/mathematics/,2016-04
Tufts University,Epidemiology and Biostatistics,Biostatistics,MPH,Master,Massachusetts,Boston,89.63,655884,7318,41.9,70.4,42.3499847,-71.0615547,http://publichealth.tufts.edu/Academics/Public-Health-Program/MPH-and-Combined-Degree-Programs/MPH-Concentrations/Epio-Bio,2016-04
University of Massachusetts Amherst,Biostatistics,Biostatistics,MPH,Master,Massachusetts,Amherst,27.8,39774,1431,36,67.2,42.3944404,-72.5260786,http://www.umass.edu/sphhs/biostatistics,2016-04
University of Massachusetts Amherst,Biostatistics,Biostatistics,MS,Master,Massachusetts,Amherst,27.8,39774,1431,36,67.2,42.3944404,-72.5260786,http://www.umass.edu/sphhs/biostatistics,2016-04
University of Massachusetts Amherst,Biostatistics,Biostatistics,PhD,Doctorate,Massachusetts,Amherst,27.8,39774,1431,36,67.2,42.3944404,-72.5260786,http://www.umass.edu/sphhs/biostatistics,2016-04
University of Massachusetts Amherst,Statistics,Statistics,MS,Master,Massachusetts,Amherst,27.8,39774,1431,36,67.2,42.3938996,-72.5276423,https://www.math.umass.edu/,2016-04
University of Massachusetts Amherst,Statistics,Statistics,PhD,Doctorate,Massachusetts,Amherst,27.8,39774,1431,36,67.2,42.3938996,-72.5276423,https://www.math.umass.edu/,2016-04
University of Massachusetts Dartmouth,Data Science,Statistics,MS,Master,Massachusetts,Dartmouth,97.53,34415,353,40.4,68.5,41.6303013,-71.0057031,http://www.umassd.edu/cas/math/,2016-04
Worcester Polytechnic Institute,Applied Statistics,Statistics,MS,Master,Massachusetts,Worcester,38.61,183016,4740,37.2,67.5,42.2738882,-71.8076772,https://www.wpi.edu/academics/math.html,2016-04
Worcester Polytechnic Institute,Data Science,Statistics,MS,Master,Massachusetts,Worcester,38.61,183016,4740,37.2,67.5,42.2750151,-71.8064374,http://www.wpi.edu/academics/datascience.html,2016-04
Worcester Polytechnic Institute,Data Science,Statistics,PhD,Doctorate,Massachusetts,Worcester,38.61,183016,4740,37.2,67.5,42.2750151,-71.8064374,http://www.wpi.edu/academics/datascience.html,2016-04
Eastern Michigan University,Applied Statistics,Statistics,MA,Master,Michigan,Ypsilanti,4.52,19621,4341,36.6,69.6,42.2496292,-83.622584,http://www.emich.edu/math/,2016-04
Grand Valley State University,Biostatistics,Biostatistics,MS,Master,Michigan,Allendale,23.71,21655,913,39.2,70.2,42.9666233,-85.8862598,http://www.gvsu.edu/grad/biostats/,2016-04
Grand Valley State University,Biostatistics,Biostatistics,PSM,Master,Michigan,Allendale,23.71,21655,913,39.2,70.2,42.9666233,-85.8862598,http://www.gvsu.edu/grad/biostats/,2016-04
Michigan State University,Biostatistics,Biostatistics,MS,Master,Michigan,Lansing,36.7,109870,2994,36.7,69.3,42.7222711,-84.4655851,http://www.epi.msu.edu/academics/bio/masters/,2016-04
Michigan State University,Applied Statistics,Statistics,MS,Master,Michigan,Lansing,36.7,109870,2994,36.7,69.3,42.727672,-84.4821961,https://www.stt.msu.edu/,2016-04
Michigan State University,Statistics,Statistics,MS,Master,Michigan,Lansing,36.7,109870,2994,36.7,69.3,42.727672,-84.4821961,https://www.stt.msu.edu/,2016-04
Michigan State University,Statistics,Statistics,PhD,Doctorate,Michigan,Lansing,36.7,109870,2994,36.7,69.3,42.727672,-84.4821961,https://www.stt.msu.edu/,2016-04
Michigan Technological University,Statistics,Statistics,MS,Master,Michigan,Houghton,4.7,7932,1688,32,64.5,47.1182174,-88.5462226,http://www.mtu.edu/math/,2016-04
Michigan Technological University,Statistics,Statistics,PhD,Doctorate,Michigan,Houghton,4.7,7932,1688,32,64.5,47.1182174,-88.5462226,http://www.mtu.edu/math/,2016-04
University of Michigan,Biostatistics,Biostatistics,MPH,Master,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2807769,-83.7303391,https://sph.umich.edu/biostat/index.html,2016-04
University of Michigan,Bioinformatics,Biostatistics,MS,Master,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2806932,-83.7338533,http://www.ccmb.med.umich.edu/,2016-04
University of Michigan,Biostatistics,Biostatistics,MS,Master,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2807769,-83.7303391,https://sph.umich.edu/biostat/index.html,2016-04
University of Michigan,Bioinformatics,Biostatistics,PhD,Doctorate,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2806932,-83.7338533,http://www.ccmb.med.umich.edu/,2016-04
University of Michigan,Biostatistics,Biostatistics,PhD,Doctorate,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2807769,-83.7303391,https://sph.umich.edu/biostat/index.html,2016-04
University of Michigan,Applied Statistics,Statistics,MS,Master,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2760164,-83.7362386,https://lsa.umich.edu/stats,2016-04
University of Michigan,Survey Methodology,Statistics,MS,Master,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2767003,-83.7437399,http://psm.isr.umich.edu/,2016-04
University of Michigan,Statistics,Statistics,PhD,Doctorate,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2760164,-83.7362386,https://lsa.umich.edu/stats,2016-04
University of Michigan,Survey Methodology,Statistics,PhD,Doctorate,Michigan,Ann Arbor,28.7,117770,4103,36.6,68.7,42.2767003,-83.7437399,http://psm.isr.umich.edu/,2016-04
Wayne State University,Mathematical Statistics,Statistics,MAS,Master,Michigan,Detroit,142.9,680250,4760,38.7,71.2,42.3585912,-83.0727595,http://clas.wayne.edu/Math/,2016-04
Western Michigan University,Statistics,Statistics,MS,Master,Michigan,Kalamazoo,25.1,75922,3025,37.4,70.1,42.283313,-85.6177291,http://www.stat.wmich.edu/,2016-04
Western Michigan University,Statistics,Statistics,PhD,Doctorate,Michigan,Kalamazoo,25.1,75922,3025,37.4,70.1,42.283313,-85.6177291,http://www.stat.wmich.edu/,2016-04
University of Minnesota,Biostatistics,Biostatistics,MPH,Master,Minnesota,Minneapolis,58.4,407207,6973,31.2,71,44.9721092,-93.2326797,http://www.sph.umn.edu/academics/divisions/biostatistics/,2016-04
University of Minnesota,Biostatistics,Biostatistics,MS,Master,Minnesota,Minneapolis,58.4,407207,6973,31.2,71,44.9721092,-93.2326797,http://www.sph.umn.edu/academics/divisions/biostatistics/,2016-04
University of Minnesota,Biostatistics,Biostatistics,PhD,Doctorate,Minnesota,Minneapolis,58.4,407207,6973,31.2,71,44.9721092,-93.2326797,http://www.sph.umn.edu/academics/divisions/biostatistics/,2016-04
University of Minnesota,Statistics,Statistics,MS,Master,Minnesota,Minneapolis,58.4,407207,6973,31.2,71,44.9739145,-93.2344647,http://www.stat.umn.edu/,2016-04
University of Minnesota,Statistics,Statistics,PhD,Doctorate,Minnesota,Minneapolis,58.4,407207,6973,31.2,71,44.9739145,-93.2344647,http://www.stat.umn.edu/,2016-04
Mississippi State University,Statistics,Statistics,MS,Master,Mississippi,Starkville,25.8,24886,965,52.5,79.7,33.452021,-88.7907795,http://www.math.msstate.edu/,2016-04
Mississippi State University,Mathematical Sciences Statistics Track,Statistics,PhD,Doctorate,Mississippi,Starkville,25.8,24886,965,52.5,79.7,33.452021,-88.7907795,http://www.math.msstate.edu/,2016-04
Missouri University of Science and Technology,Applied Mathematics with Statistics Emphasis,Statistics,MS,Master,Missouri,Rolla,11.85,19926,1682,42.4,74.7,37.9535213,-91.7741205,https://math.mst.edu,2016-04
Missouri University of Science and Technology,Mathematics with Statistics Emphasis,Statistics,PhD,Doctorate,Missouri,Rolla,11.85,19926,1682,42.4,74.7,37.9535213,-91.7741205,https://math.mst.edu,2016-04
University of Missouri,Statistics with Emphasis in Biostatistics,Biostatistics,MA,Master,Missouri,Columbia,63.51,116906,1841,41.2,75,38.946232,-92.3269893,http://www.stat.missouri.edu,2016-04
University of Missouri,Statistics,Statistics,MA,Master,Missouri,Columbia,63.51,116906,1841,41.2,75,38.946232,-92.3269893,http://www.stat.missouri.edu,2016-04
University of Missouri,Statistics,Statistics,PhD,Doctorate,Missouri,Columbia,63.51,116906,1841,41.2,75,38.946232,-92.3269893,http://www.stat.missouri.edu,2016-04
University of Missouri-Kansas City,Statistics,Statistics,MS,Master,Missouri,Kansas City,319,470800,1476,42.9,77.9,39.0329828,-94.5763307,http://cas.umkc.edu/mathematics/,2016-04
University of Missouri-Kansas City,Statistics,Statistics,PhD,Doctorate,Missouri,Kansas City,319,470800,1476,42.9,77.9,39.0329828,-94.5763307,http://cas.umkc.edu/mathematics/,2016-04
University of Missouri-St. Louis,Mathematical and Computational Sciences with Statistics Option,Statistics,PhD,Doctorate,Missouri,St. Louis,66,317419,4809,42.7,75.5,38.7109686,-90.3115873,https://www.umsl.edu/mathcs/,2016-04
Washington University in St. Louis,Biostatistics,Biostatistics,MS,Master,Missouri,St. Louis,66,317419,4809,42.7,75.5,38.6335709,-90.26289,https://biostatistics.wustl.edu,2016-04
Washington University in St. Louis,Statistics,Statistics,MA,Master,Missouri,St. Louis,66,317419,4809,42.7,75.5,38.6486654,-90.305521,https://wumath.wustl.edu/,2016-04
Washington University in St. Louis,Statistics,Statistics,PhD,Doctorate,Missouri,St. Louis,66,317419,4809,42.7,75.5,38.6486654,-90.305521,https://wumath.wustl.edu/,2016-04
Montana State University,Statistics,Statistics,MS,Master,Montana,Bozeman,19.15,41660,2175,30.9,62.3,45.6683852,-111.0486882,http://www.math.montana.edu/,2016-04
Montana State University,Statistics,Statistics,PhD,Doctorate,Montana,Bozeman,19.15,41660,2175,30.9,62.3,45.6683852,-111.0486882,http://www.math.montana.edu/,2016-04
University of Montana,Mathematical Sciences Statistics Track,Statistics,MS,Master,Montana,Missoula,23.9,69821,2921,31.5,64.5,46.8592959,-113.9856263,http://hs.umt.edu/math/,2016-04
University of Montana,Mathematical Sciences Statistics Track,Statistics,PhD,Doctorate,Montana,Missoula,23.9,69821,2921,31.5,64.5,46.8592959,-113.9856263,http://hs.umt.edu/math/,2016-04
University of Nebraska Medical Center,Biostatistics,Biostatistics,MPH,Master,Nebraska,Omaha,130.6,446599,3420,35.4,73.3,41.255226,-95.9787257,https://www.unmc.edu/publichealth/departments/biostatistics/,2016-04
University of Nebraska Medical Center,Biostatistics,Biostatistics,PhD,Doctorate,Nebraska,Omaha,130.6,446599,3420,35.4,73.3,41.255226,-95.9787257,https://www.unmc.edu/publichealth/departments/biostatistics/,2016-04
University of Nebraska-Lincoln,Statistics,Statistics,MS,Master,Nebraska,Lincoln,90.36,272996,3021,36.5,73,40.8291741,-96.672294,http://statistics.unl.edu/,2016-04
University of Nebraska-Lincoln,Statistics,Statistics,PhD,Doctorate,Nebraska,Lincoln,90.36,272996,3021,36.5,73,40.8291741,-96.672294,http://statistics.unl.edu/,2016-04
"University of Nevada, Las Vegas",Biostatistics and Epidemiology,Biostatistics,MPH,Master,Nevada,Las Vegas,135.9,613599,4515,55.4,89.4,36.1099992,-115.1442155,https://www.unlv.edu/publichealth,2016-04
"University of Nevada, Las Vegas",Biostatistics and Epidemiology,Biostatistics,PhD,Doctorate,Nevada,Las Vegas,135.9,613599,4515,55.4,89.4,36.1099992,-115.1442155,https://www.unlv.edu/publichealth,2016-04
"University of Nevada, Las Vegas",Mathematics with Concentration in Statistics,Statistics,MS,Master,Nevada,Las Vegas,135.9,613599,4515,55.4,89.4,36.1051235,-115.1407877,https://www.unlv.edu/math,2016-04
"University of Nevada, Las Vegas",Mathematics with Concentration in Statistics,Statistics,PhD,Doctorate,Nevada,Las Vegas,135.9,613599,4515,55.4,89.4,36.1051235,-115.1407877,https://www.unlv.edu/math,2016-04
"University of Nevada, Reno",Biostatistics,Biostatistics,MPH,Master,Nevada,Reno,105.9,236995,2238,41.7,70.9,39.5455548,-119.8154703,http://dhs.unr.edu/chs/academics/mph,2016-04
"University of Nevada, Reno",Mathematics with Statistics Emphasis,Statistics,MS,Master,Nevada,Reno,105.9,236995,2238,41.7,70.9,39.5389897,-119.8124179,https://www.unr.edu/math,2016-04
University of New Hampshire,Statistics,Statistics,PhD,Doctorate,New Hampshire,Durham,24.75,15759,637,36.5,66.4,43.1340391,-70.9349468,http://ceps.unh.edu/mathematics-statistics,2016-04
New Jersey Institute of Technology,Biostatistics,Biostatistics,MS,Master,New Jersey,Newark,26.11,280579,10746,44.3,74.7,40.7429603,-74.1773298,http://math.njit.edu/,2016-04
New Jersey Institute of Technology,Applied Statistics,Statistics,MS,Master,New Jersey,Newark,26.11,280579,10746,44.3,74.7,40.7429603,-74.1773298,http://math.njit.edu/,2016-04
Princeton University,Statistics,Statistics,MSE,Master,New Jersey,Princeton,18.36,30108,1640,42.7,72.8,40.3495387,-74.652688,https://orfe.princeton.edu/,2016-04
Princeton University,Statistics,Statistics,PhD,Doctorate,New Jersey,Princeton,18.36,30108,1640,42.7,72.8,40.3495387,-74.652688,https://orfe.princeton.edu/,2016-04
Princeton University,Statistics and Machine Learning,Statistics,PhD,Doctorate,New Jersey,Princeton,18.36,30108,1640,42.7,72.8,40.3495387,-74.652688,http://sml.princeton.edu/,2016-04
Rutgers University,Biostatistics,Biostatistics,MS,Master,New Jersey,Piscataway,19,58982,3104,42.8,72.2,40.5216649,-74.4624969,http://stat.rutgers.edu/,2016-04
Rutgers University,Data Science,Statistics,MS,Master,New Jersey,Piscataway,19,58982,3104,42.8,72.2,40.5216649,-74.4624969,http://stat.rutgers.edu/,2016-04
Rutgers University,Statistics,Statistics,MS,Master,New Jersey,Piscataway,19,58982,3104,42.8,72.2,40.5216649,-74.4624969,http://stat.rutgers.edu/,2016-04
Rutgers University,Statistics,Statistics,PhD,Doctorate,New Jersey,Piscataway,19,58982,3104,42.8,72.2,40.5216649,-74.4624969,http://stat.rutgers.edu/,2016-04
New Mexico Institute of Mining and Technology,Mathematics with Operations Research and Statistics Option,Statistics,MS,Master,New Mexico,Socorro,14.4,8751,608,43.4,76.9,34.0676967,-106.9048637,http://infohost.nmt.edu/~math/,2016-04
New Mexico State University,Mathematics with Concentration in Statistics,Statistics,MS,Master,New Mexico,Las Cruces,76.64,101408,1323,46,76.8,32.2806002,-106.7519778,https://www.math.nmsu.edu/,2016-04
University of New Mexico,Statistics,Statistics,MS,Master,New Mexico,Albuquerque,189.5,557169,2940,43.7,76,35.0839187,-106.6241759,http://math.unm.edu/,2016-04
University of New Mexico,Statistics,Statistics,PhD,Doctorate,New Mexico,Albuquerque,189.5,557169,2940,43.7,76,35.0839187,-106.6241759,http://math.unm.edu/,2016-04
"Baruch College, City University of New York",Statistics,Statistics,MS,Master,New York,New York,468.9,8491079,18109,45.6,74.6,40.7402485,-73.9835376,http://zicklin.baruch.cuny.edu/programs/graduate/ms/ms-programs/degrees/statistics,2016-04
"Binghamton University, State University of New York",Applied Statistics,Statistics,MA,Master,New York,Vestal,52.6,28242,537,35.5,66,42.0883539,-75.9637262,http://www2.math.binghamton.edu/,2016-04
Columbia University,Biostatistics,Biostatistics,MS,Master,New York,New York,468.9,8491079,18109,45.6,74.6,40.8425307,-73.9435181,https://www.mailman.columbia.edu/become-student/departments/biostatistics,2016-04
Columbia University,Biostatistics,Biostatistics,PhD,Doctorate,New York,New York,468.9,8491079,18109,45.6,74.6,40.8425307,-73.9435181,https://www.mailman.columbia.edu/become-student/departments/biostatistics,2016-04
